Provinces,HAI61,HAI62,HAI63,HAI64,ONET61,ONET62,ONET63,ONET64,AVPOV
Samut Prakan,0.607611906,0.614188026,0.623418499,0.611140492,37.15,33.85,35.51,35.33,0.56
Nonthaburi,0.68125425,0.682647732,0.68622587,0.66854532,38.62,35.01,36.09,36.22,0.24
Pathumthani,0.659033147,0.65378724,0.668850834,0.672529859,36.51,33.52,35,36.42,0.24
Nakhon Pathom,0.640506818,0.650848336,0.674604074,0.674010741,39.6,36.53,37.48,41.15,0.63
Samut Sakhon,0.609049215,0.62615964,0.613356154,0.607574646,34.49,32.26,33.02,32.71,0.81
Ayutthaya,0.648365932,0.68202993,0.689179207,0.689319514,33.7,30.91,32.79,31.96,2.19
Ang Thong,0.612426695,0.633842587,0.63899208,0.652610767,32.88,30.4,32.1,31.64,17.32
Lop Buri,0.622286587,0.621033805,0.651361205,0.650209064,35.77,32.54,34.55,33.61,10.13
Sing buri,0.610581223,0.652130561,0.666288312,0.672478933,33.8,31.27,32.88,32.17,9.08
Chai Nat,0.590875498,0.616265649,0.607959081,0.625404161,31.76,30.08,31.41,31.46,17.89
Saraburi,0.630658071,0.63523241,0.636349952,0.633328955,34.26,31.75,32.66,33.54,0.9
Ratchaburi,0.626764976,0.637267467,0.646708959,0.654241619,36.27,33.4,34.78,34.13,10.83
Kanchanaburi,0.601431643,0.621649831,0.6245439,0.63949287,32.51,30.2,30.97,30.18,8.28
Suphanburi,0.620580966,0.617052479,0.643459306,0.649853805,34.79,31.97,32.89,31.76,11.56
Samut Songkhram,0.631162242,0.647560611,0.652268186,0.647116741,38.12,33.56,35.7,39.2,6.09
Phetchaburi,0.618485844,0.659305768,0.661910723,0.655945703,37.31,34.56,36,31.97,6.23
Prachuap Khiri Khan,0.610562071,0.632004029,0.640498444,0.634507119,34.48,31.75,33.79,33.99,3.17
Chonburi,0.660230721,0.676385925,0.672117001,0.690423782,38.59,35.76,36.92,37.03,1.17
Rayong,0.632018224,0.633782649,0.657922423,0.66134793,38.15,35.43,37.02,34.29,0.76
Chanthaburi,0.626009884,0.620043575,0.630495266,0.626292649,35.2,32.31,33.95,31.99,8.85
Trat,0.621576183,0.617070954,0.636278382,0.631173195,35.25,33.07,33.57,32.8,9.73
Chachoengsao,0.636344973,0.650441362,0.663873931,0.662904823,35.45,32.8,33.71,34.96,5.38
Prachin Buri,0.617699706,0.627325381,0.641165347,0.645068384,33.9,30.77,32.46,32.66,3.52
Nakhon Nayok,0.614787742,0.628947029,0.629192064,0.65601581,38.66,36.42,35.07,39.79,8.36
Sa Kaeo,0.58229259,0.603480049,0.619142992,0.623209867,31.59,29.11,31.25,31.41,18.74
Chiang Mai,0.625474933,0.623051823,0.630614108,0.625281638,37.85,34.83,36.37,34.39,5.31
Lamphun,0.634936813,0.625665757,0.642223159,0.639218137,34.8,31.65,33.86,34.07,3
Lampang,0.628786592,0.637582188,0.65782855,0.648570355,36.65,33.47,35.4,34.64,5.18
Uttaradit,0.640747495,0.65232431,0.657963239,0.650058342,35.12,32.06,33.92,33.83,6.34
Phrae,0.627085274,0.649175158,0.659779178,0.652828293,37.75,34.62,37.1,36.52,7.1
Nan,0.611532978,0.638378354,0.663724506,0.658616565,35.95,33.16,35.03,35.6,10.53
Phayao,0.656837728,0.634135273,0.667187548,0.650946689,36.16,33.25,35.43,33.86,6.27
chiang rai,0.633368206,0.625847113,0.651552259,0.634127991,35.2,32.43,34.07,32.86,8.75
mae hong son,0.54114851,0.545465844,0.546747158,0.572991861,30.89,28.7,30.05,30.04,24.53
